order_id,date,product,category,quantity,price_per_unit,customer,region
ORD1000,2024-06-25,Cama para gato,Descanso,3,27.71,Cliente_1,Sevilla
ORD1001,2024-10-23,Rascador,Accesorios,10,34.09,Cliente_19,Bilbao
ORD1002,2024-09-25,Pienso Premium,Alimentación,1,47.96,Cliente_23,Bilbao
ORD1003,2024-03-12,Cama para gato,Descanso,3,41.01,Cliente_42,Bilbao
ORD1004,2024-10-26,Snacks saludables,Alimentación,4,39.29,Cliente_52,Sevilla
ORD1005,2024-09-29,Rascador,Accesorios,7,30.93,Cliente_97,Sevilla
ORD1006,2024-10-26,Juguete para perro,Accesorios,4,24.82,Cliente_47,Bilbao
ORD1007,2024-11-13,Snacks saludables,Alimentación,1,49.89,Cliente_42,Bilbao
ORD1008,2024-08-22,Arena sanitaria,Higiene,7,29.6,Cliente_46,Barcelona
ORD1009,2024-06-07,Snacks saludables,Alimentación,3,35.74,Cliente_26,Barcelona
ORD1010,2024-03-30,Rascador,Accesorios,3,68.99,Cliente_95,Sevilla
ORD1011,2024-11-21,Cama para gato,Descanso,7,25.13,Cliente_80,Barcelona
ORD1012,2024-07-09,Pienso Premium,Alimentación,10,61.78,Cliente_91,Sevilla
ORD1013,2024-09-16,Pienso Premium,Alimentación,9,69.47,Cliente_75,Sevilla
ORD1014,2024-02-11,Pienso Premium,Alimentación,3,44.0,Cliente_29,Valencia
ORD1015,2024-02-16,Snacks saludables,Alimentación,4,76.27,Cliente_91,Sevilla
ORD1016,2024-09-01,Collar LED,Accesorios,4,12.67,Cliente_59,Barcelona
ORD1017,2024-05-03,Rascador,Accesorios,7,70.95,Cliente_38,Bilbao
ORD1018,2024-01-10,Collar LED,Accesorios,3,87.85,Cliente_5,Bilbao
ORD1019,2024-02-16,Cama para gato,Descanso,7,99.98,Cliente_44,Sevilla
ORD1020,2024-04-18,Collar LED,Accesorios,7,18.04,Cliente_52,Barcelona
ORD1021,2024-09-17,Pienso Premium,Alimentación,5,89.25,Cliente_57,Valencia
ORD1022,2024-10-02,Arena sanitaria,Higiene,8,30.13,Cliente_93,Bilbao
ORD1023,2024-03-14,Cama para gato,Descanso,9,68.34,Cliente_50,Sevilla
ORD1024,2024-05-14,Collar LED,Accesorios,2,36.87,Cliente_24,Madrid
ORD1025,2024-09-14,Rascador,Accesorios,5,84.04,Cliente_43,Valencia
ORD1026,2024-01-26,Cama para gato,Descanso,10,80.22,Cliente_51,Sevilla
ORD1027,2024-04-04,Collar LED,Accesorios,8,30.24,Cliente_52,Barcelona
ORD1028,2024-01-23,Snacks saludables,Alimentación,3,74.23,Cliente_75,Bilbao
ORD1029,2024-07-02,Pienso Premium,Alimentación,1,85.08,Cliente_24,Madrid
ORD1030,2024-04-28,Rascador,Accesorios,6,61.27,Cliente_35,Bilbao
ORD1031,2024-08-19,Juguete para perro,Accesorios,10,30.39,Cliente_56,Sevilla
ORD1032,2024-12-31,Arena sanitaria,Higiene,4,24.55,Cliente_4,Valencia
ORD1033,2024-03-24,Snacks saludables,Alimentación,3,12.03,Cliente_7,Bilbao
ORD1034,2024-10-17,Snacks saludables,Alimentación,3,12.57,Cliente_39,Valencia
ORD1035,2024-02-06,Arena sanitaria,Higiene,5,15.76,Cliente_77,Valencia
ORD1036,2024-02-02,Cama para gato,Descanso,8,36.74,Cliente_66,Madrid
ORD1037,2024-01-10,Cama para gato,Descanso,10,89.26,Cliente_38,Madrid
ORD1038,2024-03-31,Snacks saludables,Alimentación,10,14.48,Cliente_13,Sevilla
ORD1039,2024-02-15,Collar LED,Accesorios,3,73.9,Cliente_47,Madrid
ORD1040,2024-01-11,Arena sanitaria,Higiene,3,47.81,Cliente_4,Barcelona
ORD1041,2024-09-18,Collar LED,Accesorios,10,72.71,Cliente_33,Barcelona
ORD1042,2024-04-12,Cama para gato,Descanso,7,95.12,Cliente_44,Barcelona
ORD1043,2024-06-07,Rascador,Accesorios,8,6.74,Cliente_65,Madrid
ORD1044,2024-07-24,Snacks saludables,Alimentación,6,37.59,Cliente_99,Barcelona
ORD1045,2024-08-30,Rascador,Accesorios,3,39.16,Cliente_72,Sevilla
ORD1046,2024-05-06,Arena sanitaria,Higiene,5,51.1,Cliente_37,Barcelona
ORD1047,2024-07-16,Juguete para perro,Accesorios,1,24.91,Cliente_61,Sevilla
ORD1048,2024-01-21,Pienso Premium,Alimentación,2,66.86,Cliente_100,Bilbao
ORD1049,2024-06-06,Collar LED,Accesorios,3,50.6,Cliente_79,Sevilla
ORD1050,2024-05-10,Pienso Premium,Alimentación,8,8.23,Cliente_27,Sevilla
ORD1051,2024-02-03,Collar LED,Accesorios,5,9.27,Cliente_40,Sevilla
ORD1052,2024-12-20,Rascador,Accesorios,1,34.94,Cliente_46,Madrid
ORD1053,2024-08-04,Cama para gato,Descanso,5,9.03,Cliente_47,Bilbao
ORD1054,2024-12-20,Cama para gato,Descanso,7,82.34,Cliente_84,Madrid
ORD1055,2024-11-13,Rascador,Accesorios,9,8.08,Cliente_44,Barcelona
ORD1056,2024-01-08,Collar LED,Accesorios,6,94.37,Cliente_78,Sevilla
ORD1057,2024-01-27,Rascador,Accesorios,9,36.73,Cliente_73,Sevilla
ORD1058,2024-04-16,Cama para gato,Descanso,6,98.19,Cliente_16,Barcelona
ORD1059,2024-11-12,Rascador,Accesorios,7,75.41,Cliente_32,Valencia
ORD1060,2024-05-10,Cama para gato,Descanso,6,88.98,Cliente_21,Madrid
ORD1061,2024-12-06,Snacks saludables,Alimentación,4,94.01,Cliente_9,Bilbao
ORD1062,2024-10-05,Rascador,Accesorios,3,88.65,Cliente_82,Barcelona
ORD1063,2024-12-01,Arena sanitaria,Higiene,10,85.02,Cliente_24,Madrid
ORD1064,2024-05-28,Collar LED,Accesorios,6,15.72,Cliente_28,Valencia
ORD1065,2024-08-29,Cama para gato,Descanso,4,63.32,Cliente_36,Madrid
ORD1066,2024-05-26,Snacks saludables,Alimentación,8,21.97,Cliente_87,Sevilla
ORD1067,2024-01-14,Collar LED,Accesorios,9,5.3,Cliente_73,Bilbao
ORD1068,2024-03-14,Rascador,Accesorios,1,25.35,Cliente_67,Madrid
ORD1069,2024-02-19,Rascador,Accesorios,7,8.22,Cliente_65,Madrid
ORD1070,2024-01-26,Arena sanitaria,Higiene,4,73.23,Cliente_15,Madrid
ORD1071,2024-05-22,Rascador,Accesorios,3,10.51,Cliente_32,Bilbao
ORD1072,2024-09-27,Snacks saludables,Alimentación,1,37.0,Cliente_62,Sevilla
ORD1073,2024-04-29,Rascador,Accesorios,10,75.92,Cliente_37,Barcelona
ORD1074,2024-11-07,Snacks saludables,Alimentación,9,64.25,Cliente_37,Bilbao
ORD1075,2024-07-15,Juguete para perro,Accesorios,2,96.0,Cliente_64,Sevilla
ORD1076,2024-01-18,Pienso Premium,Alimentación,10,75.43,Cliente_20,Sevilla
ORD1077,2024-01-05,Snacks saludables,Alimentación,5,51.63,Cliente_32,Bilbao
ORD1078,2024-02-18,Arena sanitaria,Higiene,6,17.81,Cliente_29,Bilbao
ORD1079,2024-05-15,Arena sanitaria,Higiene,2,18.48,Cliente_93,Valencia
ORD1080,2024-11-13,Rascador,Accesorios,6,57.95,Cliente_65,Madrid
ORD1081,2024-07-12,Juguete para perro,Accesorios,2,77.21,Cliente_89,Valencia
ORD1082,2024-11-30,Rascador,Accesorios,3,86.49,Cliente_70,Bilbao
ORD1083,2024-07-01,Cama para gato,Descanso,5,47.21,Cliente_91,Madrid
ORD1084,2024-05-18,Juguete para perro,Accesorios,4,74.71,Cliente_18,Bilbao
ORD1085,2024-09-22,Juguete para perro,Accesorios,9,90.35,Cliente_24,Barcelona
ORD1086,2024-12-13,Arena sanitaria,Higiene,2,65.53,Cliente_10,Bilbao
ORD1087,2024-07-29,Pienso Premium,Alimentación,8,68.24,Cliente_35,Madrid
ORD1088,2024-04-18,Rascador,Accesorios,7,17.66,Cliente_98,Sevilla
ORD1089,2024-11-01,Pienso Premium,Alimentación,7,85.03,Cliente_9,Sevilla
ORD1090,2024-01-31,Rascador,Accesorios,10,34.24,Cliente_59,Bilbao
ORD1091,2024-03-06,Juguete para perro,Accesorios,4,5.05,Cliente_10,Madrid
ORD1092,2024-04-30,Rascador,Accesorios,6,15.93,Cliente_55,Barcelona
ORD1093,2024-11-14,Rascador,Accesorios,6,51.24,Cliente_32,Bilbao
ORD1094,2024-10-12,Snacks saludables,Alimentación,6,73.69,Cliente_68,Barcelona
ORD1095,2024-03-31,Snacks saludables,Alimentación,7,80.09,Cliente_64,Barcelona
ORD1096,2024-08-16,Rascador,Accesorios,4,52.0,Cliente_81,Madrid
ORD1097,2024-02-19,Pienso Premium,Alimentación,8,50.33,Cliente_96,Barcelona
ORD1098,2024-09-28,Snacks saludables,Alimentación,7,14.08,Cliente_73,Bilbao
ORD1099,2024-07-18,Rascador,Accesorios,7,44.44,Cliente_68,Sevilla
ORD1100,2024-01-12,Pienso Premium,Alimentación,9,45.93,Cliente_45,Valencia
ORD1101,2024-08-20,Cama para gato,Descanso,2,91.86,Cliente_16,Sevilla
ORD1102,2024-06-17,Juguete para perro,Accesorios,8,67.11,Cliente_8,Valencia
ORD1103,2024-07-20,Cama para gato,Descanso,2,52.19,Cliente_13,Sevilla
ORD1104,2024-04-03,Snacks saludables,Alimentación,4,13.27,Cliente_13,Valencia
ORD1105,2024-11-01,Arena sanitaria,Higiene,2,80.53,Cliente_39,Sevilla
ORD1106,2024-06-03,Pienso Premium,Alimentación,2,61.8,Cliente_19,Bilbao
ORD1107,2024-11-23,Juguete para perro,Accesorios,6,86.06,Cliente_2,Sevilla
ORD1108,2024-02-13,Collar LED,Accesorios,8,22.71,Cliente_79,Madrid
ORD1109,2024-09-07,Rascador,Accesorios,1,19.24,Cliente_6,Bilbao
ORD1110,2024-10-23,Cama para gato,Descanso,9,73.67,Cliente_80,Madrid
ORD1111,2024-03-04,Arena sanitaria,Higiene,6,9.83,Cliente_63,Madrid
ORD1112,2024-06-30,Pienso Premium,Alimentación,3,65.43,Cliente_32,Barcelona
ORD1113,2024-05-27,Collar LED,Accesorios,5,50.49,Cliente_84,Madrid
ORD1114,2024-06-06,Collar LED,Accesorios,3,48.95,Cliente_61,Sevilla
ORD1115,2024-05-23,Collar LED,Accesorios,3,58.52,Cliente_64,Bilbao
ORD1116,2024-06-11,Arena sanitaria,Higiene,3,19.97,Cliente_89,Bilbao
ORD1117,2024-05-22,Snacks saludables,Alimentación,4,29.18,Cliente_27,Madrid
ORD1118,2024-01-20,Juguete para perro,Accesorios,9,59.19,Cliente_48,Bilbao
ORD1119,2024-10-26,Collar LED,Accesorios,9,39.21,Cliente_58,Sevilla
ORD1120,2024-04-26,Collar LED,Accesorios,4,36.38,Cliente_44,Barcelona
ORD1121,2024-08-09,Juguete para perro,Accesorios,5,29.09,Cliente_35,Valencia
ORD1122,2024-01-04,Collar LED,Accesorios,3,97.82,Cliente_62,Madrid
ORD1123,2024-09-18,Arena sanitaria,Higiene,4,18.22,Cliente_97,Madrid
ORD1124,2024-01-10,Pienso Premium,Alimentación,5,20.44,Cliente_23,Sevilla
ORD1125,2024-08-11,Pienso Premium,Alimentación,9,82.39,Cliente_38,Sevilla
ORD1126,2024-11-26,Collar LED,Accesorios,3,30.18,Cliente_15,Barcelona
ORD1127,2024-06-27,Snacks saludables,Alimentación,8,8.67,Cliente_80,Valencia
ORD1128,2024-12-31,Arena sanitaria,Higiene,8,83.11,Cliente_71,Sevilla
ORD1129,2024-05-23,Juguete para perro,Accesorios,4,62.31,Cliente_97,Barcelona
ORD1130,2024-01-07,Arena sanitaria,Higiene,8,34.2,Cliente_54,Sevilla
ORD1131,2024-04-27,Pienso Premium,Alimentación,10,53.85,Cliente_83,Bilbao
ORD1132,2024-02-15,Juguete para perro,Accesorios,1,47.1,Cliente_96,Bilbao
ORD1133,2024-12-03,Snacks saludables,Alimentación,2,63.77,Cliente_81,Sevilla
ORD1134,2024-01-03,Cama para gato,Descanso,8,81.87,Cliente_1,Barcelona
ORD1135,2024-11-03,Arena sanitaria,Higiene,4,14.45,Cliente_61,Bilbao
